endpoint,method,backend_controller,frontend_used,frontend_references,swagger_status
/auth/login,POST,backend/src/auth/auth.controller.ts,yes,frontend/src/services/auth/auth.service.ts:42|54,documented
/auth/embed-login,POST,backend/src/auth/auth.controller.ts,yes,frontend/src/services/auth/auth.service.ts:48,documented
/auth/agents,POST,backend/src/auth/auth.controller.ts,no,,documented
/auth/me,GET,backend/src/auth/auth.controller.ts,yes,frontend/src/services/auth/auth.service.ts:63,documented
/clients/search,POST,backend/src/clients/app.controllers.clients.ts,yes,frontend/src/services/client/client.service.ts:17,documented
/categories,POST,backend/src/category/category.controller.ts,no,,documented
/categories,GET,backend/src/category/category.controller.ts,yes,frontend/src/services/campaign/campaign.service.ts:35,documented
/categories/:id,GET,backend/src/category/category.controller.ts,no,,documented
/categories/:id,PUT,backend/src/category/category.controller.ts,no,,documented
/categories/:id,DELETE,backend/src/category/category.controller.ts,no,,documented
/invoices/search,POST,backend/src/invoices/controllers/invoicesController.ts,yes,frontend/src/services/client/client.service.ts:21,documented
/services,POST,backend/src/services/app.controller.services.ts,yes,frontend/src/services/client/client.service.ts:27,documented
/templates/search,POST,backend/src/templates/app.controllers.templates.ts,yes,frontend/src/hooks/controller/templates/useTemplatesController.ts:19,documented
/templates/send,POST,backend/src/templates/app.controllers.templates.ts,yes,frontend/src/hooks/controller/dispatch/useDispatchTemplateController.ts:57,documented
/templates/reports/search,POST,backend/src/templates/app.controllers.templates.ts,yes,frontend/src/hooks/controller/history/useHistoricoController.ts:17,documented
/templates/delete,POST,backend/src/templates/app.controllers.templates.ts,yes,frontend/src/hooks/controller/templates/useTemplatesController.ts:64,documented
/templates/create,POST,backend/src/templates/app.controllers.templates.ts,no,,documented
/campaigns/create,POST,backend/src/campanhas/campanhas.controller.ts,yes,frontend/src/services/campaign/campaign.service.ts:27,documented
/campaigns,GET,backend/src/campanhas/campanhas.controller.ts,yes,frontend/src/services/campaign/campaign.service.ts:22,documented
/campaigns/metrics,GET,backend/src/campanhas/campanhas.controller.ts,yes,frontend/src/services/campaign/campaign.service.ts:46,documented
/campaigns/:id/toggle-status,PATCH,backend/src/campanhas/campanhas.controller.ts,no,,documented
/campaigns/:id,PATCH,backend/src/campanhas/campanhas.controller.ts,yes,frontend/src/services/campaign/campaign.service.ts:31,documented
/campaigns/:id,GET,backend/src/campanhas/campanhas.controller.ts,no,,documented
/campaigns/:id,DELETE,backend/src/campanhas/campanhas.controller.ts,yes,frontend/src/services/campaign/campaign.service.ts:40,documented

